name,type,ingredients
tomato and basil soup,starter,"basil, tomato, tomato"
checken and leek soup,starter,"chicken, leek, leek"
cream of mushroom soup,starter,"bayleaf, milk, mushroom"
vegetable chowder,starter,"milk, peas, potato"
pea and bacon soup,starter,"pork, peas, peas"
camembert baked in a box,starter,"bread, cheese, cheese"
tuna fishcakes,starter,"milk, potato, tuna"
bruschetta with tomato and basil,starter,"basil, bread, tomato"
garden salad,starter,"egg, salad, tomato"
lamb samosas,starter,"bayleaf, flour, lamb"
caribbean chicken salad,starter,"beans, chicken, salad"
lobster soup,starter,"cheese, lemon, lobster"
pumpkin soup,starter,"chili, cream, pumpkin"
sweetcorn soup,starter,"egg, cream, sweetcorn"
onion soup,starter,"bayleaf, garlic, onion"
lamb skewers,starter,"garlic, lamb, lemon"
tiger prawn platter,starter,"garlic, lime, prawn"
margherita pizza,main,"cheese, flour, tomato"
roast chicken,main,"chicken, potato, salad"
hot dog and fries,main,"bread, potato, sausage"
burger and fries,main,"beef, bread, potato"
pepperoni pizza,main,"cheese, pepperoni, tomato"
roast beef,main,"beef, carrot, salad"
tuna steak with vegetables,main,"carrot, potato, tuna"
spaghetti carbonara,main,"pork, egg, pasta"
spaghetti bolognese,main,"beef, pasta, tomato"
chicken tikka masala,main,"bayleaf, chicken, rice"
tuna sushi,main,"rice, tuna, wasabi"
sausages and mash,main,"cheese, potato, sausage"
chili con carne,main,"beans, chili, rice"
caesar salad,main,"bread, egg, salad"
fruit selection,dessert,"banana, strawberry, apple"
chocolate cake with ice cream,dessert,"chocolate, flour, ice cream"
strawberry cheese cake,dessert,"cheese, flour, strawberry"
pancakes,dessert,"cheese, egg, flour"
cr?me brulee,dessert,"egg, cream, sugar"
pumpkin pie,dessert,"flour, pumpkin, sugar"
cheese board,dessert,"cheese, cheese, cheese"
banana split,dessert,"banana, ice cream, cream"
sundae,dessert,"chocolate, ice cream, cream"
mango pudding,dessert,"lime, milk, mango"
kiwi sorbet,dessert,"lemon, sugar, kiwi"
exotic fruit skewers,dessert,"dragonfruit, mango, kiwi"
pomegranate parfait,dessert,"egg, cream, pomegranate"
tiramisu,dessert,"egg, cream, coffee beans"
glass of water,drink,"lime, water, ice"
espresso,drink,"water, coffee beans, coffee beans"
coffee,drink,"milk, sugar, coffee beans"
tea,drink,"sugar, water, tea leaves"
chocolate milkshake,drink,"chocolate, ice cream, milk"
strawberry milkshake,drink,"ice cream, milk, strawberry"
lemonade,drink,"lemon, water, ice"
peach ice-tea,drink,"water, pumpkin, tea leaves"
carbonated tea,drink,"milk, sugar, tea leaves"
fruit shake,drink,"banana, strawberry, ice"
ginger-beer,drink,"ice cream, sugar, ginger"
hot chocolate with vanilla,drink,"chocolate, cream, vanilla"
saffron tea,drink,"salfron, water, tea leaves"
watermelon juice,drink,"sugar, water, watermelon"
gods nectar,drink,"dragonfruit, honey, cherry"
coconut cocktail,drink,"ice cream, coconut, coconut"
green tea,drink,"water, tea leaves, tea leaves"
milk green tea,drink,"milk, water, tea leaves"
